DNA-23401-CG001Qv42Run232-4_S4.CG001v3.4.3	max number of variants:22
DNA-23453-CG001Qv42Run232-6_S6.CG001v3.4.105	max normalized_alignments:30
DNA-23453-CG001Qv42Run232-6_S6.CG001v3.4.105	max number of variants:43
DNA-23453-CG001Qv42Run232-6_S6.CG001v3.4.105	average number of variants:5.58
DNA-23453-CG001Qv42Run232-6_S6.CG001v3.4.125	average number of variants:1.56
DNA-23453-CG001Qv42Run232-6_S6.CG001v3.4.130	no normalized_alignment
DNA-23453-CG001Qv42Run232-6_S6.CG001v3.4.130	no variant
DNA-23453-CG001Qv42Run232-6_S6.CG001v3.4.131	max number of variants:7
DNA-23453-CG001Qv42Run232-6_S6.CG001v4.0.7	max number of variants:7
DNA-23453-CG001Qv42Run232-6_S6.CG001v4.0.11	max number of variants:6
DNA-23453-CG001Qv42Run232-6_S6.CG001v4.0.11	average number of variants:1.59
DNA-23453-CG001Qv42Run232-6_S6.CG001v4.0.27	max number of variants:6
DNA-23453-CG001Qv42Run232-6_S6.CG001v4.0.55	average number of variants:1.56
DNA-23453-CG001Qv42Run232-6_S6.CG001v4.0.57	average number of variants:2.07
DNA-23453-CG001Qv42Run232-6_S6.CG001v3.4.56	max number of variants:7
DNA-23453-CG001Qv42Run232-6_S6.CG001v3.4.62	max number of variants:6
DNA-23454-CG001Qv42Run232-7_S7.CG001v3.4.5	max number of variants:7
DNA-23454-CG001Qv42Run232-7_S7.CG001v3.4.20	max number of variants:6
DNA-23454-CG001Qv42Run232-7_S7.CG001v3.4.22	max number of variants:7
DNA-23454-CG001Qv42Run232-7_S7.CG001v3.4.25	max number of variants:6
DNA-23454-CG001Qv42Run232-7_S7.CG001v3.4.89	max number of variants:6
DNA-23454-CG001Qv42Run232-7_S7.CG001v3.4.91	max number of variants:7
DNA-23454-CG001Qv42Run232-7_S7.CG001v3.4.96	max number of variants:6
DNA-23454-CG001Qv42Run232-7_S7.CG001v3.4.103	max number of variants:7
DNA-23454-CG001Qv42Run232-7_S7.CG001v3.4.103	average number of variants:1.53
DNA-23454-CG001Qv42Run232-7_S7.CG001v3.4.105	max number of variants:42
DNA-23454-CG001Qv42Run232-7_S7.CG001v3.4.105	average number of variants:4.09
DNA-23454-CG001Qv42Run232-7_S7.CG001v3.4.111	max number of variants:6
DNA-23454-CG001Qv42Run232-7_S7.CG001v3.4.130	no normalized_alignment
DNA-23454-CG001Qv42Run232-7_S7.CG001v3.4.130	no variant
DNA-23454-CG001Qv42Run232-7_S7.CG001v4.0.8	max number of variants:6
DNA-23454-CG001Qv42Run232-7_S7.CG001v4.0.11	max number of variants:7
DNA-23454-CG001Qv42Run232-7_S7.CG001v4.0.11	average number of variants:1.87
DNA-23454-CG001Qv42Run232-7_S7.CG001v4.0.14	max number of variants:10
DNA-23454-CG001Qv42Run232-7_S7.CG001v4.0.20	average number of variants:1.54
DNA-23454-CG001Qv42Run232-7_S7.CG001v4.0.40	max number of variants:9
DNA-23454-CG001Qv42Run232-7_S7.CG001v4.0.44	average number of variants:1.52
DNA-23454-CG001Qv42Run232-7_S7.CG001v4.0.45	max number of variants:6
DNA-23454-CG001Qv42Run232-7_S7.CG001v4.0.51	average number of variants:1.55
DNA-23454-CG001Qv42Run232-7_S7.CG001v4.0.53	max number of variants:6
DNA-23454-CG001Qv42Run232-7_S7.CG001v4.0.53	average number of variants:2.41
DNA-23454-CG001Qv42Run232-7_S7.CG001v3.4.56	max number of variants:6
DNA-23455-CG001Qv42Run232-8_S8.CG001v3.4.5	max number of variants:6
DNA-23455-CG001Qv42Run232-8_S8.CG001v3.4.7	max number of variants:7
DNA-23455-CG001Qv42Run232-8_S8.CG001v3.4.22	max number of variants:6
DNA-23455-CG001Qv42Run232-8_S8.CG001v3.4.25	max number of variants:6
DNA-23455-CG001Qv42Run232-8_S8.CG001v3.4.43	max number of variants:6
DNA-23455-CG001Qv42Run232-8_S8.CG001v3.4.89	max number of variants:6
DNA-23455-CG001Qv42Run232-8_S8.CG001v3.4.91	max normalized_alignments:12
DNA-23455-CG001Qv42Run232-8_S8.CG001v3.4.91	max number of variants:27
DNA-23455-CG001Qv42Run232-8_S8.CG001v3.4.91	average number of variants:2.32
DNA-23455-CG001Qv42Run232-8_S8.CG001v3.4.103	max number of variants:6
DNA-23455-CG001Qv42Run232-8_S8.CG001v3.4.105	max normalized_alignments:12
DNA-23455-CG001Qv42Run232-8_S8.CG001v3.4.105	max number of variants:42
DNA-23455-CG001Qv42Run232-8_S8.CG001v3.4.105	average number of variants:5.14
DNA-23455-CG001Qv42Run232-8_S8.CG001v3.4.111	max number of variants:7
DNA-23455-CG001Qv42Run232-8_S8.CG001v3.4.130	no normalized_alignment
DNA-23455-CG001Qv42Run232-8_S8.CG001v3.4.130	no variant
DNA-23455-CG001Qv42Run232-8_S8.CG001v3.4.131	max number of variants:7
DNA-23455-CG001Qv42Run232-8_S8.CG001v4.0.5	max number of variants:6
DNA-23455-CG001Qv42Run232-8_S8.CG001v4.0.7	max number of variants:6
DNA-23455-CG001Qv42Run232-8_S8.CG001v4.0.8	max normalized_alignments:18
DNA-23455-CG001Qv42Run232-8_S8.CG001v4.0.8	max number of variants:29
DNA-23455-CG001Qv42Run232-8_S8.CG001v4.0.8	average number of variants:2.19
DNA-23455-CG001Qv42Run232-8_S8.CG001v4.0.11	max number of variants:10
DNA-23455-CG001Qv42Run232-8_S8.CG001v4.0.20	max number of variants:6
DNA-23455-CG001Qv42Run232-8_S8.CG001v4.0.40	max number of variants:8
DNA-23455-CG001Qv42Run232-8_S8.CG001v4.0.45	max number of variants:9
DNA-23455-CG001Qv42Run232-8_S8.CG001v4.0.50	average number of variants:1.59
DNA-23455-CG001Qv42Run232-8_S8.CG001v4.0.53	average number of variants:1.54
DNA-23455-CG001Qv42Run232-8_S8.CG001v4.0.55	average number of variants:1.51
DNA-23455-CG001Qv42Run232-8_S8.CG001v4.0.58	average number of variants:1.52
DNA-23455-CG001Qv42Run232-8_S8.CG001v3.4.56	max number of variants:6
DNA-23456-CG001Qv42Run232-9_S9.CG001v3.4.18	max number of variants:6
DNA-23456-CG001Qv42Run232-9_S9.CG001v3.4.22	max number of variants:6
DNA-23456-CG001Qv42Run232-9_S9.CG001v3.4.25	max number of variants:6
DNA-23456-CG001Qv42Run232-9_S9.CG001v3.4.49	max normalized_alignments:38
DNA-23456-CG001Qv42Run232-9_S9.CG001v3.4.51	max number of variants:11
DNA-23456-CG001Qv42Run232-9_S9.CG001v3.4.91	max normalized_alignments:15
DNA-23456-CG001Qv42Run232-9_S9.CG001v3.4.91	max number of variants:29
DNA-23456-CG001Qv42Run232-9_S9.CG001v3.4.91	average number of variants:2.62
DNA-23456-CG001Qv42Run232-9_S9.CG001v3.4.97	max number of variants:6
DNA-23456-CG001Qv42Run232-9_S9.CG001v3.4.105	max normalized_alignments:16
DNA-23456-CG001Qv42Run232-9_S9.CG001v3.4.105	max number of variants:42
DNA-23456-CG001Qv42Run232-9_S9.CG001v3.4.105	average number of variants:3.83
DNA-23456-CG001Qv42Run232-9_S9.CG001v3.4.111	max number of variants:6
DNA-23456-CG001Qv42Run232-9_S9.CG001v3.4.130	no normalized_alignment
DNA-23456-CG001Qv42Run232-9_S9.CG001v3.4.130	no variant
DNA-23456-CG001Qv42Run232-9_S9.CG001v4.0.7	max number of variants:9
DNA-23456-CG001Qv42Run232-9_S9.CG001v4.0.8	max number of variants:6
DNA-23456-CG001Qv42Run232-9_S9.CG001v4.0.11	max number of variants:12
DNA-23456-CG001Qv42Run232-9_S9.CG001v4.0.11	average number of variants:1.71
DNA-23456-CG001Qv42Run232-9_S9.CG001v4.0.40	max number of variants:7
DNA-23456-CG001Qv42Run232-9_S9.CG001v4.0.45	max number of variants:6
DNA-23456-CG001Qv42Run232-9_S9.CG001v4.0.53	average number of variants:1.52
DNA-23457-CG001Qv42Run232-10_S10.CG001v3.4.43	max number of variants:6
DNA-23457-CG001Qv42Run232-10_S10.CG001v3.4.89	max number of variants:7
DNA-23457-CG001Qv42Run232-10_S10.CG001v3.4.96	max number of variants:8
DNA-23457-CG001Qv42Run232-10_S10.CG001v3.4.102	max number of variants:7
DNA-23457-CG001Qv42Run232-10_S10.CG001v3.4.103	max number of variants:7
DNA-23457-CG001Qv42Run232-10_S10.CG001v3.4.105	max number of variants:42
DNA-23457-CG001Qv42Run232-10_S10.CG001v3.4.105	average number of variants:3.59
DNA-23457-CG001Qv42Run232-10_S10.CG001v3.4.110	max number of variants:6
DNA-23457-CG001Qv42Run232-10_S10.CG001v3.4.111	max number of variants:7
DNA-23457-CG001Qv42Run232-10_S10.CG001v3.4.122	max number of variants:6
DNA-23457-CG001Qv42Run232-10_S10.CG001v3.4.125	average number of variants:1.57
DNA-23457-CG001Qv42Run232-10_S10.CG001v3.4.130	no normalized_alignment
DNA-23457-CG001Qv42Run232-10_S10.CG001v3.4.130	no variant
DNA-23457-CG001Qv42Run232-10_S10.CG001v4.0.7	max number of variants:6
DNA-23457-CG001Qv42Run232-10_S10.CG001v4.0.11	max number of variants:7
DNA-23457-CG001Qv42Run232-10_S10.CG001v4.0.11	average number of variants:1.89
DNA-23457-CG001Qv42Run232-10_S10.CG001v4.0.14	max number of variants:8
DNA-23457-CG001Qv42Run232-10_S10.CG001v4.0.34	max number of variants:9
DNA-23457-CG001Qv42Run232-10_S10.CG001v4.0.34	average number of variants:1.65
DNA-23457-CG001Qv42Run232-10_S10.CG001v4.0.35	max number of variants:9
DNA-23457-CG001Qv42Run232-10_S10.CG001v4.0.40	max number of variants:7
DNA-23457-CG001Qv42Run232-10_S10.CG001v4.0.45	max number of variants:6
DNA-23457-CG001Qv42Run232-10_S10.CG001v4.0.50	average number of variants:1.54
DNA-23457-CG001Qv42Run232-10_S10.CG001v4.0.51	average number of variants:1.53
DNA-23457-CG001Qv42Run232-10_S10.CG001v4.0.53	average number of variants:1.99
DNA-23458-CG001Qv42Run232-11_S11.CG001v3.4.5	max number of variants:6
DNA-23458-CG001Qv42Run232-11_S11.CG001v3.4.18	max number of variants:6
DNA-23458-CG001Qv42Run232-11_S11.CG001v3.4.54	max number of variants:6
DNA-23458-CG001Qv42Run232-11_S11.CG001v3.4.59	max number of variants:6
DNA-23458-CG001Qv42Run232-11_S11.CG001v3.4.65	max number of variants:6
DNA-23458-CG001Qv42Run232-11_S11.CG001v3.4.89	max number of variants:6
DNA-23458-CG001Qv42Run232-11_S11.CG001v3.4.91	max normalized_alignments:30
DNA-23458-CG001Qv42Run232-11_S11.CG001v3.4.91	max number of variants:40
DNA-23458-CG001Qv42Run232-11_S11.CG001v3.4.91	average number of variants:5.94
DNA-23458-CG001Qv42Run232-11_S11.CG001v3.4.96	max number of variants:6
DNA-23458-CG001Qv42Run232-11_S11.CG001v3.4.103	max number of variants:6
DNA-23458-CG001Qv42Run232-11_S11.CG001v3.4.105	max number of variants:42
DNA-23458-CG001Qv42Run232-11_S11.CG001v3.4.105	average number of variants:3.68
DNA-23458-CG001Qv42Run232-11_S11.CG001v3.4.130	max normalized_alignments:19
DNA-23458-CG001Qv42Run232-11_S11.CG001v3.4.130	average normalized_alignments:13.208
DNA-23458-CG001Qv42Run232-11_S11.CG001v3.4.130	max number of variants:18
DNA-23458-CG001Qv42Run232-11_S11.CG001v3.4.130	average number of variants:14.41
DNA-23458-CG001Qv42Run232-11_S11.CG001v4.0.8	max number of variants:6
DNA-23458-CG001Qv42Run232-11_S11.CG001v4.0.11	max number of variants:6
DNA-23458-CG001Qv42Run232-11_S11.CG001v4.0.11	average number of variants:1.54
DNA-23458-CG001Qv42Run232-11_S11.CG001v4.0.21	average number of variants:1.55
DNA-23458-CG001Qv42Run232-11_S11.CG001v4.0.27	max number of variants:9
DNA-23458-CG001Qv42Run232-11_S11.CG001v4.0.34	max number of variants:6
DNA-23458-CG001Qv42Run232-11_S11.CG001v4.0.40	max number of variants:6
DNA-23458-CG001Qv42Run232-11_S11.CG001v4.0.51	average number of variants:1.56
DNA-23458-CG001Qv42Run232-11_S11.CG001v4.0.59	average number of variants:1.67
DNA-23458-CG001Qv42Run232-11_S11.CG001v3.4.56	max number of variants:6
DNA-23459-CG001Qv42Run232-12_S12.CG001v3.4.5	max number of variants:6
DNA-23459-CG001Qv42Run232-12_S12.CG001v3.4.22	max number of variants:6
DNA-23459-CG001Qv42Run232-12_S12.CG001v3.4.25	max number of variants:8
DNA-23459-CG001Qv42Run232-12_S12.CG001v3.4.30	max number of variants:7
DNA-23459-CG001Qv42Run232-12_S12.CG001v3.4.89	max number of variants:6
DNA-23459-CG001Qv42Run232-12_S12.CG001v3.4.91	max number of variants:6
DNA-23459-CG001Qv42Run232-12_S12.CG001v3.4.92	max number of variants:6
DNA-23459-CG001Qv42Run232-12_S12.CG001v3.4.96	max number of variants:6
DNA-23459-CG001Qv42Run232-12_S12.CG001v3.4.105	max number of variants:42
DNA-23459-CG001Qv42Run232-12_S12.CG001v3.4.105	average number of variants:3.26
DNA-23459-CG001Qv42Run232-12_S12.CG001v3.4.111	max number of variants:9
DNA-23459-CG001Qv42Run232-12_S12.CG001v3.4.130	no normalized_alignment
DNA-23459-CG001Qv42Run232-12_S12.CG001v3.4.130	no variant
DNA-23459-CG001Qv42Run232-12_S12.CG001v3.4.135	max number of variants:6
DNA-23459-CG001Qv42Run232-12_S12.CG001v4.0.6	max number of variants:9
DNA-23459-CG001Qv42Run232-12_S12.CG001v4.0.8	max number of variants:10
DNA-23459-CG001Qv42Run232-12_S12.CG001v4.0.11	max number of variants:6
DNA-23459-CG001Qv42Run232-12_S12.CG001v4.0.11	average number of variants:1.84
DNA-23459-CG001Qv42Run232-12_S12.CG001v4.0.21	average number of variants:1.56
DNA-23459-CG001Qv42Run232-12_S12.CG001v4.0.34	max number of variants:6
DNA-23459-CG001Qv42Run232-12_S12.CG001v4.0.35	max number of variants:8
DNA-23459-CG001Qv42Run232-12_S12.CG001v4.0.40	max number of variants:7
DNA-23459-CG001Qv42Run232-12_S12.CG001v4.0.45	max number of variants:8
DNA-23459-CG001Qv42Run232-12_S12.CG001v4.0.59	average number of variants:1.56
DNA-23460-CG001Qv42Run232-13_S13.CG001v3.4.5	max number of variants:6
DNA-23460-CG001Qv42Run232-13_S13.CG001v3.4.89	max number of variants:7
DNA-23460-CG001Qv42Run232-13_S13.CG001v3.4.94	max number of variants:6
DNA-23460-CG001Qv42Run232-13_S13.CG001v3.4.103	max number of variants:9
DNA-23460-CG001Qv42Run232-13_S13.CG001v3.4.103	average number of variants:1.57
DNA-23460-CG001Qv42Run232-13_S13.CG001v3.4.105	max normalized_alignments:20
DNA-23460-CG001Qv42Run232-13_S13.CG001v3.4.105	max number of variants:42
DNA-23460-CG001Qv42Run232-13_S13.CG001v3.4.105	average number of variants:4.34
DNA-23460-CG001Qv42Run232-13_S13.CG001v3.4.111	max number of variants:6
DNA-23460-CG001Qv42Run232-13_S13.CG001v3.4.125	average number of variants:1.53
DNA-23460-CG001Qv42Run232-13_S13.CG001v3.4.130	no normalized_alignment
DNA-23460-CG001Qv42Run232-13_S13.CG001v3.4.130	no variant
DNA-23460-CG001Qv42Run232-13_S13.CG001v4.0.7	max number of variants:6
DNA-23460-CG001Qv42Run232-13_S13.CG001v4.0.8	max number of variants:7
DNA-23460-CG001Qv42Run232-13_S13.CG001v4.0.11	max number of variants:8
DNA-23460-CG001Qv42Run232-13_S13.CG001v4.0.11	average number of variants:1.92
DNA-23460-CG001Qv42Run232-13_S13.CG001v4.0.40	max number of variants:8
DNA-23460-CG001Qv42Run232-13_S13.CG001v4.0.44	average number of variants:1.57
DNA-23460-CG001Qv42Run232-13_S13.CG001v4.0.45	max number of variants:9
DNA-23460-CG001Qv42Run232-13_S13.CG001v4.0.48	max number of variants:8
DNA-23460-CG001Qv42Run232-13_S13.CG001v4.0.51	average number of variants:1.51
DNA-23460-CG001Qv42Run232-13_S13.CG001v4.0.58	average number of variants:1.57
DNA-23461-CG001Qv42Run232-14_S14.CG001v3.4.5	max number of variants:6
DNA-23461-CG001Qv42Run232-14_S14.CG001v3.4.91	max number of variants:27
DNA-23461-CG001Qv42Run232-14_S14.CG001v3.4.103	max number of variants:7
DNA-23461-CG001Qv42Run232-14_S14.CG001v3.4.105	max number of variants:28
DNA-23461-CG001Qv42Run232-14_S14.CG001v3.4.105	average number of variants:1.54
DNA-23461-CG001Qv42Run232-14_S14.CG001v3.4.110	max number of variants:6
DNA-23461-CG001Qv42Run232-14_S14.CG001v3.4.111	max number of variants:7
DNA-23461-CG001Qv42Run232-14_S14.CG001v3.4.125	average number of variants:1.56
DNA-23461-CG001Qv42Run232-14_S14.CG001v3.4.130	no normalized_alignment
DNA-23461-CG001Qv42Run232-14_S14.CG001v3.4.130	no variant
DNA-23461-CG001Qv42Run232-14_S14.CG001v4.0.8	max number of variants:7
DNA-23461-CG001Qv42Run232-14_S14.CG001v4.0.11	max number of variants:6
DNA-23461-CG001Qv42Run232-14_S14.CG001v4.0.11	average number of variants:1.87
DNA-23461-CG001Qv42Run232-14_S14.CG001v4.0.34	max number of variants:7
DNA-23461-CG001Qv42Run232-14_S14.CG001v4.0.34	average number of variants:1.58
DNA-23461-CG001Qv42Run232-14_S14.CG001v4.0.40	max number of variants:7
DNA-23461-CG001Qv42Run232-14_S14.CG001v4.0.45	max number of variants:6
DNA-23462-CG001Qv42Run232-15_S15.CG001v3.4.3	max number of variants:25
DNA-23462-CG001Qv42Run232-15_S15.CG001v3.4.3	average number of variants:1.84
DNA-23462-CG001Qv42Run232-15_S15.CG001v3.4.5	max number of variants:7
DNA-23462-CG001Qv42Run232-15_S15.CG001v3.4.41	max number of variants:6
DNA-23462-CG001Qv42Run232-15_S15.CG001v3.4.90	max number of variants:6
DNA-23462-CG001Qv42Run232-15_S15.CG001v3.4.102	max number of variants:38
DNA-23462-CG001Qv42Run232-15_S15.CG001v3.4.102	average number of variants:1.66
DNA-23462-CG001Qv42Run232-15_S15.CG001v3.4.105	max number of variants:42
DNA-23462-CG001Qv42Run232-15_S15.CG001v3.4.105	average number of variants:3.91
DNA-23462-CG001Qv42Run232-15_S15.CG001v3.4.110	max number of variants:6
DNA-23462-CG001Qv42Run232-15_S15.CG001v3.4.111	max number of variants:6
DNA-23462-CG001Qv42Run232-15_S15.CG001v3.4.125	average number of variants:1.57
DNA-23462-CG001Qv42Run232-15_S15.CG001v3.4.130	no normalized_alignment
DNA-23462-CG001Qv42Run232-15_S15.CG001v3.4.130	no variant
DNA-23462-CG001Qv42Run232-15_S15.CG001v4.0.7	max number of variants:6
DNA-23462-CG001Qv42Run232-15_S15.CG001v4.0.11	max number of variants:7
DNA-23462-CG001Qv42Run232-15_S15.CG001v4.0.11	average number of variants:1.85
DNA-23462-CG001Qv42Run232-15_S15.CG001v4.0.27	max number of variants:9
DNA-23462-CG001Qv42Run232-15_S15.CG001v4.0.30	max number of variants:7
DNA-23462-CG001Qv42Run232-15_S15.CG001v4.0.34	average number of variants:1.52
DNA-23462-CG001Qv42Run232-15_S15.CG001v4.0.40	max number of variants:7
DNA-23462-CG001Qv42Run232-15_S15.CG001v4.0.45	max number of variants:8
DNA-23462-CG001Qv42Run232-15_S15.CG001v4.0.48	max number of variants:7
DNA-23462-CG001Qv42Run232-15_S15.CG001v4.0.58	average number of variants:1.52
DNA-23463-CG001Qv42Run232-16_S16.CG001v3.4.5	max number of variants:8
DNA-23463-CG001Qv42Run232-16_S16.CG001v3.4.43	max number of variants:7
DNA-23463-CG001Qv42Run232-16_S16.CG001v3.4.94	average number of variants:1.51
DNA-23463-CG001Qv42Run232-16_S16.CG001v3.4.96	max number of variants:6
DNA-23463-CG001Qv42Run232-16_S16.CG001v3.4.103	max number of variants:6
DNA-23463-CG001Qv42Run232-16_S16.CG001v3.4.105	max normalized_alignments:36
DNA-23463-CG001Qv42Run232-16_S16.CG001v3.4.105	max number of variants:42
DNA-23463-CG001Qv42Run232-16_S16.CG001v3.4.105	average number of variants:5.77
DNA-23463-CG001Qv42Run232-16_S16.CG001v3.4.111	max number of variants:8
DNA-23463-CG001Qv42Run232-16_S16.CG001v3.4.130	max normalized_alignments:19
DNA-23463-CG001Qv42Run232-16_S16.CG001v3.4.130	average normalized_alignments:14.155
DNA-23463-CG001Qv42Run232-16_S16.CG001v3.4.130	max number of variants:18
DNA-23463-CG001Qv42Run232-16_S16.CG001v3.4.130	average number of variants:14.43
DNA-23463-CG001Qv42Run232-16_S16.CG001v4.0.8	max number of variants:7
DNA-23463-CG001Qv42Run232-16_S16.CG001v4.0.11	max number of variants:12
DNA-23463-CG001Qv42Run232-16_S16.CG001v4.0.11	average number of variants:1.69
DNA-23463-CG001Qv42Run232-16_S16.CG001v4.0.31	max number of variants:6
DNA-23463-CG001Qv42Run232-16_S16.CG001v4.0.33	max number of variants:6
DNA-23463-CG001Qv42Run232-16_S16.CG001v4.0.34	max number of variants:6
DNA-23463-CG001Qv42Run232-16_S16.CG001v4.0.34	average number of variants:1.63
DNA-23463-CG001Qv42Run232-16_S16.CG001v4.0.40	max number of variants:7
DNA-23463-CG001Qv42Run232-16_S16.CG001v4.0.45	max number of variants:8
DNA-23463-CG001Qv42Run232-16_S16.CG001v4.0.48	max number of variants:6
DNA-23463-CG001Qv42Run232-16_S16.CG001v4.0.50	average number of variants:1.57
DNA-23463-CG001Qv42Run232-16_S16.CG001v4.0.53	average number of variants:1.56
DNA-23463-CG001Qv42Run232-16_S16.CG001v3.4.56	max number of variants:6
DNA-23464-CG001Qv42Run232-17_S17.CG001v3.4.5	max number of variants:7
DNA-23464-CG001Qv42Run232-17_S17.CG001v3.4.13	max number of variants:12
DNA-23464-CG001Qv42Run232-17_S17.CG001v3.4.13	average number of variants:1.59
DNA-23464-CG001Qv42Run232-17_S17.CG001v3.4.15	max number of variants:6
DNA-23464-CG001Qv42Run232-17_S17.CG001v3.4.89	max number of variants:8
DNA-23464-CG001Qv42Run232-17_S17.CG001v3.4.103	max number of variants:8
DNA-23464-CG001Qv42Run232-17_S17.CG001v3.4.103	average number of variants:1.54
DNA-23464-CG001Qv42Run232-17_S17.CG001v3.4.105	max number of variants:42
DNA-23464-CG001Qv42Run232-17_S17.CG001v3.4.105	average number of variants:2.84
